,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
"El Paso, TX",9249.0,26642.0,5.761055249216131,1659636.5610000014,62.293992981007484,3.164233971240134,8207.0,923939.3249999979,14471.0,63.84764874576725,1.0390103644494848,0.002418630364176629
"Washington, D.C.",25649.0,76259.0,5.946352684315178,2656705.2750000157,34.83792437613942,3.2636360092011385,23287.0,1496750.6409999977,41609.0,35.971800355692224,1.0421379223966523,0.0022591266312576605
"Las Vegas, NV",12839.0,32183.0,5.0133187942986215,1685820.3480000028,52.38232445701155,2.849832541475193,10896.0,976939.122999995,18169.0,53.76955930430926,1.1092322799167136,0.005503880235566074
"Boston, MA",27962.0,80211.0,5.737143265860811,2721882.107000004,33.934025345650895,3.1974107717616764,25278.0,1582247.6329999834,44506.0,35.55133314609229,1.0506777230456423,0.0017301038062283738
"Portland, OR",15475.0,42520.0,5.495315024232633,1830321.7149999973,43.0461362888052,3.117156704361874,13610.0,1050187.0369999965,24016.0,43.72864078114576,1.0657551128227607,0.0020403064623584276
"Louisville, KY",6495.0,18113.0,5.57752117013087,1283027.8500000047,70.83464086567685,2.9679753656658967,5626.0,685135.6980000016,9489.0,72.20315080619682,1.1048704704940568,0.006112340604910949
"Memphis, TN",5123.0,13431.0,5.243412063244193,878906.8959999995,65.43867887722429,2.836423970329885,4205.0,481437.7190000003,7187.0,66.98729915124534,1.0865599234109105,0.007374426047029359
"Detroit, MI",24264.0,72460.0,5.972634355423673,2735597.5550000123,37.75320942589032,3.2138559182327726,21857.0,1485705.7740000074,38757.0,38.33386933973237,1.0615530852686008,0.003483241736976546
"Baltimore, MD",26616.0,70437.0,5.292831379621281,2426578.2960000006,34.450335704246356,2.951420198376916,21229.0,1383478.3450000056,39078.0,35.402997722503855,1.0489152075652086,0.0018424689083371719
"Milwaukee, WI",32602.0,100495.0,6.164959204956751,3093332.4689999903,30.78095894323091,3.258297036991596,29030.0,1650449.5609999888,52864.0,31.220671175090587,1.0332798528213443,0.0014754842615012107
"Albuquerque, NM",1960.0,5239.0,5.345918367346939,524014.85700000176,100.02192345867566,2.9933673469387756,1698.0,288909.7619999995,2858.0,101.08809027291795,1.0835099161033,0.0031490552834149755
"Tucson, AZ",3647.0,9037.0,4.955854126679463,635680.5689999975,70.34199059422346,2.692898272552783,2799.0,338643.1880000004,4841.0,69.95314769675694,1.096766778813861,0.00454451559595125
"Fresno, CA",5788.0,15984.0,5.523151347615757,1293896.8440000063,80.94950225225264,3.11333794056669,5244.0,740538.7159999985,8920.0,83.0200354260088,1.0457808848795842,0.002242152466367713
"Sacramento, CA",11331.0,31473.0,5.555202541699762,1622947.356000006,51.56633800400362,3.056393963463066,9596.0,914039.5040000012,17185.0,53.18821670061107,1.077157591428325,0.0036659877800407333
"Mesa, AZ",5.0,4.0,1.6,50.814,12.7035,1.8,2.0,25.407,2.0,12.7035,1.0000098465119267,0.0
"Kansas City, MO",18321.0,55039.0,6.008296490366247,2364569.0480000167,42.961700757644884,3.20741225915616,16419.0,1281796.125000004,29181.0,43.92570936568328,1.0568329342834495,0.0027072410129879033
"Atlanta, GA",7883.0,19168.0,4.863123176455664,1121730.9180000094,58.52102034641118,2.7117848534821767,6312.0,621317.8520000002,10619.0,58.51001525567381,1.1229228354837724,0.012053865712402297
"Colorado Springs, CO",13813.0,41513.0,6.010714544269891,1998744.5240000088,48.147436321152625,3.18518786650257,12260.0,1058702.6889999972,21858.0,48.43547849757513,1.0555147596350298,0.0021044926342757802
"Omaha, NE",9762.0,25779.0,5.281499692685925,1446240.8389999927,56.101510493036685,2.8447039541077648,7705.0,790124.4039999967,13772.0,57.37179814115573,1.0629643404822728,0.004211443508568109
"Raleigh, NC",4151.0,10659.0,5.135629968682245,672538.4740000017,63.09583206679817,2.778848470248133,3320.0,383348.92300000077,5693.0,67.33689144563513,1.1277523325986933,0.0072018268048480594
"Virginia Beach, VA",464.0,991.0,4.271551724137931,156340.00700000004,157.7598456104945,2.2025862068965516,272.0,78191.37700000005,496.0,157.64390524193558,1.0875364906451315,0.020161290322580645
"Long Beach, CA",6090.0,16770.0,5.5073891625615765,1105583.604000004,65.92627334525963,3.0157635467980297,5328.0,616317.6240000009,9114.0,67.62317577353532,1.0650832124736844,0.003620803159973667
"Miami, FL",12678.0,34181.0,5.39217542199085,1451306.147999995,42.45944085895658,3.076037229846979,11067.0,850394.6349999887,19430.0,43.76709392691656,1.061788316798978,0.0027792074112197632
"Oakland, CA",14356.0,38638.0,5.382836444692114,1729721.7209999913,44.76737204306619,2.9814711618835332,12117.0,995448.6180000054,21257.0,46.82921475278757,1.0579038103040468,0.0033400762101895845
"Minneapolis, MN",24132.0,74332.0,6.160450853638323,2961031.812000044,39.83522321476678,3.2888281120503895,21787.0,1616615.9030000078,39439.0,40.99028634093177,1.0500062022186074,0.0022312938969040797
"Tulsa, OK",18761.0,57305.0,6.108949416342412,2097075.1259999734,36.594976459296284,3.2588348169074144,16671.0,1142558.8349999965,30446.0,37.52738734152258,1.0480563336661726,0.0016750968928594889
"Bakersfield, CA",6667.0,18664.0,5.5989200539973005,1321184.7649999997,70.7878678204029,3.0668966551672416,6021.0,737543.4559999995,10118.0,72.89419410950777,1.0631796392716792,0.003162680371614944
"Tampa, FL",14862.0,41897.0,5.638137531960705,1765035.8309999816,42.127976489963046,3.045014129995963,12610.0,965632.4789999995,22516.0,42.886501998578765,1.0512419746438197,0.0023094688221709007
"Wichita, KS",8218.0,23569.0,5.735945485519591,1499629.531000001,63.62720229963091,3.0562180579216354,7359.0,801743.9479999993,12448.0,64.40745083547552,1.0522907284715786,0.0033740359897172236
